"Municipality"; ".. Anesthesiologist"; ".. General Surgeon"; ".. General Physician"; ".. Gineco Obstetra"; ".. Family Physician"; ".. Pediatrician"; ".. Psychiatrist" ; ".. Radiologist"; ".. Sanitary"; ".. Others"; "Dental surgeon"; "Nurse"; "Physiotherapist"; "Speech therapist"; "Nutritionist"; "Pharmacist"; "Social worker"; " Psychologist ";" Nursing Assistant ";" Nursing Technician ";" Total "
"430540 Chiapetta";-;1;3;1;2;1;1;-;-;-;4;6;1;1;2;1;-;1;-;16;41
"430543 Chuí";-;-;7;3;1;3;-;-;-;-;2;13;1;-;-;1;-;2;-;6;39
"430544 Chuvisca";-;-;10;2;-;3;2;-;-;-;4;11;2;1;2;3;2;4;-;12;58
"430545 Cidreira";-;1;21;3;7;8;-;2;-;5;7;13;7;1;4;1;2;5;1;24;112
"430550 Ciríaco";-;-;6;1;3;1;-;-;-;1;8;5;2;-;1;1;1;3;-;16;49
"430558 Colinas";-;-;1;1;1;1;1;-;-;2;3;4;2;1;3;1;-;3;-;5;29
"430560 Colorado";-;-;4;1;2;-;-;-;-;1;2;6;2;1;1;2;1;2;1;6;32
"430570 Condor";1;1;4;2;3;2;1;-;-;1;4;12;2;1;2;3;2;3;-;13;57
"430580 Constantina";3;4;16;5;4;4;1;1;-;2;7;10;7;4;2;2;2;5;1;14;94
"430583 Coqueiro Baixo";-;-;1;1;1;1;1;-;-;-;1;3;1;1;1;1;-;1;-;2;16
"430585 Coqueiros do Sul";-;-;8;3;1;3;-;-;-;-;4;2;2;3;1;1;-;4;-;11;43
"430587 Coronel Barros";-;-;3;1;1;-;-;-;-;-;3;3;1;-;1;1;-;-;-;4;18
"430590 Coronel Bicaco";-;-;6;-;5;1;1;1;-;1;5;11;6;-;3;2;1;2;-;30;75
"430593 Coronel Pilar";-;-;2;1;-;1;-;-;-;-;2;2;1;1;1;1;1;-;-;2;15
"430595 Cotiporã";-;-;-;-;5;-;-;-;-;-;1;6;2;1;1;-;-;2;-;3;21
"430597 Coxilha";-;-;3;1;1;1;1;-;-;-;2;5;1;2;2;2;1;2;-;9;33
"430600 Crissiumal";12;3;15;3;8;4;1;2;-;9;9;20;11;4;7;3;6;12;-;39;168
"430605 Cristal";-;1;9;2;4;2;2;2;-;3;5;22;3;1;8;2;2;6;-;28;102
"430607 Cristal do Sul";-;-;-;-;2;-;-;-;-;1;2;5;1;-;-;1;1;1;1;6;21
"430610 Cruz Alta";22;25;103;24;25;24;7;19;1;176;83;147;50;15;42;36;10;34;4;455;1302
"430613 Cruzaltense";-;-;1;-;1;-;-;-;-;-;2;1;3;-;1;1;1;1;-;3;15
"430620 Cruzeiro do Sul";-;1;8;2;2;2;1;1;-;2;9;14;5;1;4;6;1;5;-;14;78
"430630 David Canabarro";3;2;8;3;3;2;-;2;-;3;3;9;3;1;2;1;2;2;-;19;68
"430632 Derrubadas";-;-;2;-;1;-;-;-;-;-;2;3;3;-;1;1;-;1;-;7;21
"430635 Dezesseis de Novembro";-;-;3;-;1;1;-;-;-;-;2;1;1;-;-;-;-;-;-;6;15
"430637 Dilermando de Aguiar";-;-;6;2;1;-;-;-;-;-;5;5;3;1;1;4;-;1;-;6;35
"430640 Dois Irmãos";2;10;40;26;9;24;4;3;-;36;53;38;18;4;15;3;3;10;-;110;408
"430642 Dois Irmãos das Missões";-;-;1;-;2;-;-;-;-;-;1;2;2;-;2;1;-;1;-;5;17
"430645 Dois Lajeados";1;4;5;3;1;4;-;1;-;2;7;6;3;-;1;2;-;2;-;18;60
"430650 Dom Feliciano";-;4;11;4;5;1;-;4;-;2;5;15;4;1;7;5;-;1;-;47;116
"430660 Dom Pedrito";4;15;75;21;7;14;1;6;-;59;42;44;22;4;2;13;9;13;-;145;496
"430655 Dom Pedro de Alcântara";-;-;2;-;1;1;1;-;-;-;2;2;3;-;2;1;-;1;-;2;18
"430670 Dona Francisca";-;-;-;-;1;-;-;-;-;-;2;6;1;-;-;-;-;1;-;13;24
"430673 Doutor Maurício Cardoso";-;-;1;-;3;-;-;-;-;-;7;3;2;-;1;2;-;1;8;1;29
"430675 Doutor Ricardo";-;-;1;1;1;1;-;-;-;-;3;3;4;1;1;1;-;2;1;3;23
"430676 Eldorado do Sul";-;-;57;11;-;10;3;2;-;3;18;38;5;-;8;7;1;6;-;41;210
"430680 Encantado";9;24;89;18;7;17;8;9;-;73;26;67;30;14;13;17;4;23;3;106;557
"430690 Encruzilhada do Sul";1;6;26;5;6;8;1;4;-;14;16;28;5;1;10;6;1;8;-;57;203
"430692 Engenho Velho";-;-;3;-;-;-;-;-;-;-;5;7;2;-;1;-;-;2;-;4;24
"430695 Entre Rios do Sul";-;-;2;2;2;-;-;-;-;-;2;5;2;-;2;1;-;2;-;7;27
"430693 Entre-Ijuís";-;-;4;-;3;2;1;-;-;1;3;12;9;-;1;4;3;4;3;11;61
"430697 Erebango";-;-;2;-;1;-;-;-;-;-;4;6;-;-;-;1;1;1;-;11;27
"430700 Erechim";47;90;277;115;23;72;36;42;-;610;189;185;70;24;34;31;21;82;2;597;2547
"430705 Ernestina";-;-;2;1;1;1;-;-;-;1;2;5;1;1;1;-;-;1;-;6;23
"430720 Erval Grande";-;-;3;1;3;-;-;-;-;-;7;9;1;1;1;2;-;1;-;17;46
"430730 Erval Seco";-;-;6;-;3;1;-;-;-;1;3;8;3;1;2;1;1;3;1;8;42
"430740 Esmeralda";-;-;2;2;1;1;-;-;-;-;2;3;1;-;1;2;-;1;1;8;25
"430745 Esperança do Sul";-;-;2;-;2;-;-;-;-;-;2;3;1;-;1;1;-;1;1;2;16
"430750 Espumoso";4;9;14;7;9;8;1;2;-;17;21;22;10;1;6;7;2;6;1;59;206
"430755 Estação";1;4;8;5;3;4;-;2;-;3;4;8;8;2;2;2;1;3;-;15;75
"430760 Estância Velha";5;4;149;18;12;35;11;9;-;22;25;60;15;4;20;18;13;24;1;156;601
"430770 Esteio";6;42;231;46;16;81;9;23;-;141;110;126;69;26;20;23;16;49;5;330;1369
"430780 Estrela";5;27;244;45;4;50;5;14;1;131;49;94;20;12;20;17;6;21;-;253;1018
"430781 Estrela Velha";-;-;1;4;2;2;-;-;-;-;5;4;4;-;1;1;-;3;-;5;32
"430783 Eugênio de Castro";-;-;4;-;1;-;-;-;-;-;-;9;3;-;1;2;-;1;1;3;25
"430786 Fagundes Varela";-;-;3;1;1;1;-;-;-;-;2;3;1;-;1;-;-;1;-;4;18
"430790 Farroupilha";17;23;128;41;13;45;10;9;-;156;70;113;37;13;8;33;7;44;-;284;1051
"430800 Faxinal do Soturno";14;11;260;25;6;12;24;5;-;69;25;43;44;21;21;6;5;50;1;50;692
"430805 Faxinalzinho";-;-;2;-;1;-;-;-;-;-;2;2;3;-;1;1;-;1;-;6;19
"430807 Fazenda Vilanova";-;-;3;1;2;1;-;-;-;-;2;3;2;1;1;2;1;3;-;5;27
"430810 Feliz";7;9;41;9;4;6;4;6;-;19;2;23;5;3;4;6;2;6;-;47;203
"430820 Flores da Cunha";7;22;65;20;5;8;3;10;-;37;56;27;21;8;8;7;3;30;-;83;420
"430825 Floriano Peixoto";-;-;1;-;1;-;-;-;-;-;2;2;1;-;1;2;-;1;-;4;15
"430830 Fontoura Xavier";-;-;8;2;4;1;1;-;-;-;3;11;4;1;3;2;1;4;-;19;64
"430840 Formigueiro";-;-;8;1;3;2;2;-;-;-;4;13;2;-;2;1;-;1;-;13;52
"430843 Forquetinha";-;-;1;1;1;1;1;-;-;-;4;4;1;-;1;1;1;2;-;1;20
"430845 Fortaleza dos Valos";-;-;5;-;2;-;-;1;-;-;4;10;4;-;2;3;2;1;-;14;48
"430850 Frederico Westphalen";4;11;66;13;8;12;4;7;-;56;74;45;25;6;4;10;8;20;-;106;479
"430860 Garibaldi";4;20;99;21;3;22;11;27;-;102;37;27;23;9;11;4;3;11;1;54;489
"430865 Garruchos";-;-;1;-;2;-;-;-;-;-;1;4;3;-;-;1;1;-;5;2;20
"430870 Gaurama";-;1;22;-;3;-;-;1;-;-;4;8;8;1;4;2;2;3;2;10;71
"430880 General Câmara";-;-;6;2;3;1;1;1;-;1;4;5;3;1;1;1;-;4;-;15;49
"430885 Gentil";-;-;1;1;1;1;-;-;-;1;3;4;2;1;1;1;-;1;-;3;21
"430890 Getúlio Vargas";3;15;40;11;11;12;2;3;-;25;29;31;11;6;9;6;3;15;-;79;311
"430900 Giruá";3;5;36;6;13;10;2;6;-;26;22;50;28;5;6;11;4;19;13;59;324
"430905 Glorinha";-;-;8;3;2;1;2;-;-;2;5;9;4;-;-;1;-;1;-;26;64
"430910 Gramado";13;24;153;31;6;36;4;11;-;142;67;66;26;10;25;13;5;31;3;201;867
"430912 Gramado dos Loureiros";-;-;2;1;1;-;-;-;-;-;3;5;2;-;2;1;1;2;1;8;29
"430915 Gramado Xavier";-;-;3;-;1;-;-;-;-;1;2;4;2;-;2;2;-;2;-;5;24
"430920 Gravataí";17;101;367;113;46;111;27;37;-;364;204;273;88;15;26;18;17;69;28;957;2878
"430925 Guabiju";-;-;3;1;1;-;-;-;-;-;2;3;-;-;1;2;2;1;-;5;21
"430930 Guaíba";7;17;147;33;2;58;7;18;-;122;110;116;23;5;12;20;13;58;1;273;1042
"430940 Guaporé";3;29;58;32;10;15;4;10;-;49;30;27;15;8;15;10;5;24;1;62;407
"430950 Guarani das Missões";2;5;7;5;3;3;-;3;-;2;4;10;12;2;4;3;2;6;-;33;106
"430955 Harmonia";-;-;5;2;3;1;2;-;-;-;6;6;4;1;2;-;1;4;-;10;47
"430710 Herval";-;-;5;-;3;1;1;2;-;2;4;7;3;1;2;1;1;2;-;18;53
"430957 Herveiras";-;-;3;1;1;-;-;-;-;-;1;2;1;-;1;1;-;-;-;4;15
"430960 Horizontina";1;2;24;2;9;3;2;2;-;12;25;21;19;2;6;11;4;26;2;38;211
"430965 Hulha Negra";-;-;4;1;2;1;-;1;-;-;2;5;1;-;-;2;2;1;-;9;31
"430970 Humaitá";-;-;11;-;2;-;-;-;-;-;1;8;2;2;4;1;1;5;-;7;44
"430975 Ibarama";-;-;-;-;2;-;-;-;-;-;1;2;1;-;-;1;1;2;1;5;16
"430980 Ibiaçá";-;1;9;1;1;1;-;-;-;-;3;6;2;1;1;1;-;3;1;8;39
"430990 Ibiraiaras";-;-;7;1;3;-;-;-;-;-;5;6;5;1;1;2;-;3;-;15;49
"430995 Ibirapuitã";-;-;-;1;3;-;-;1;-;-;2;3;2;1;-;1;-;2;-;3;19
"431000 Ibirubá";3;9;41;23;6;15;13;23;-;110;37;17;39;13;6;11;1;21;-;52;440
"431010 Igrejinha";16;11;108;38;13;31;8;11;-;73;56;59;19;10;25;6;5;18;-;144;651
"431020 Ijuí";24;76;158;58;18;54;31;36;2;478;119;202;116;45;50;51;26;74;5;621;2244
"431030 Ilópolis";1;2;11;4;2;3;2;2;-;4;6;8;8;1;3;2;2;3;-;12;76
"431033 Imbé";-;1;37;8;3;4;4;1;-;13;9;35;8;-;2;-;2;12;-;88;227
"431036 Imigrante";-;-;3;2;1;1;-;-;-;2;3;3;1;1;3;1;-;2;-;5;28
"431040 Independência";-;-;5;-;2;-;-;-;-;1;3;9;2;2;2;2;1;6;-;17;52
"431041 Inhacorá";-;-;4;-;1;1;1;-;-;-;2;3;1;1;3;1;-;1;-;7;26
"431043 Ipê";-;-;2;1;-;-;-;-;-;1;4;12;3;-;1;1;-;1;2;6;34
"431046 Ipiranga do Sul";-;-;1;-;1;-;-;-;-;-;3;2;2;1;1;1;-;1;1;4;18
"431050 Iraí";1;3;17;3;4;3;1;1;-;-;5;10;4;1;3;3;3;3;1;24;90
"431053 Itaara";-;-;6;-;2;-;2;-;-;-;2;9;2;-;1;2;2;3;-;5;36
"431055 Itacurubi";-;-;2;2;2;-;-;-;-;-;3;3;1;-;-;1;-;1;-;3;18
"431057 Itapuca";-;-;2;-;-;-;-;-;-;-;2;1;1;-;-;1;-;1;-;3;11
"431060 Itaqui";2;11;48;15;6;5;3;5;-;22;17;39;17;5;8;4;5;11;-;102;325
"431065 Itati";-;-;4;1;1;1;-;-;-;1;3;2;2;-;3;1;-;1;1;5;26
"431070 Itatiba do Sul";-;-;1;-;3;-;-;-;-;1;3;3;3;1;3;2;-;3;2;12;37
"431075 Ivorá";-;-;5;1;1;1;1;-;-;-;2;6;1;-;1;2;-;-;2;5;28
"431080 Ivoti";8;12;72;25;-;38;6;6;-;26;30;53;17;3;6;9;4;22;-;114;451
"431085 Jaboticaba";-;3;9;-;2;-;2;1;-;7;3;12;4;1;2;2;3;4;1;25;81
"431087 Jacuizinho";-;-;1;-;1;-;-;-;-;-;1;3;2;1;1;-;-;1;-;5;16
"431090 Jacutinga";-;-;4;-;2;-;-;-;-;-;2;5;2;-;2;2;-;2;-;13;34
"431100 Jaguarão";2;2;20;6;9;4;5;5;-;16;17;34;15;2;1;9;5;12;-;53;217
"431110 Jaguari";2;4;21;6;2;4;-;3;-;6;8;13;4;-;2;6;1;3;-;37;122
"431112 Jaquirana";-;-;3;-;2;-;-;-;-;-;3;5;3;2;5;-;1;2;2;6;34
"431113 Jari";-;-;3;-;1;-;-;-;-;-;2;3;1;2;2;-;-;2;1;3;20
"431115 Jóia";-;-;2;-;3;-;-;-;-;-;7;10;6;3;4;2;1;3;-;18;59
"431120 Júlio de Castilhos";2;2;23;6;6;5;1;5;-;8;16;26;18;3;4;11;4;7;2;51;200
"431123 Lagoa Bonita do Sul";-;-;1;-;3;-;-;-;-;-;2;1;1;-;1;2;1;2;-;3;17
"431127 Lagoa dos Três Cantos";-;-;2;2;1;1;-;-;-;-;2;3;2;2;3;1;1;3;1;6;30
"431130 Lagoa Vermelha";3;12;52;36;7;16;4;7;-;32;19;27;15;3;10;11;2;18;-;77;351
"431125 Lagoão";-;-;2;-;2;-;-;-;-;-;1;3;1;-;1;3;-;1;1;5;20
"431140 Lajeado";63;49;418;59;22;105;40;31;-;463;172;259;74;31;66;67;23;81;11;591;2625
"431142 Lajeado do Bugre";-;-;2;-;1;-;-;-;-;-;2;3;2;-;-;1;-;2;2;4;19
"431150 Lavras do Sul";-;-;10;3;3;1;-;1;-;2;8;17;3;-;2;1;1;2;-;23;77
"431160 Liberato Salzano";-;-;6;2;2;-;-;-;-;-;5;12;7;-;1;-;-;1;2;11;49
"431162 Lindolfo Collor";-;-;8;3;1;1;4;-;-;-;2;12;4;1;3;1;-;2;-;14;56
"431164 Linha Nova";-;-;3;1;-;1;1;-;-;-;3;3;1;-;1;1;1;1;-;3;20
"431171 Maçambará";-;1;1;1;1;1;-;-;-;1;3;4;2;1;1;-;-;1;-;11;29
"431170 Machadinho";-;-;7;2;2;-;-;-;-;-;3;5;5;3;2;6;-;7;-;7;49
"431173 Mampituba";-;-;2;1;2;-;3;-;-;2;3;7;2;-;2;-;2;3;1;2;32
"431175 Manoel Viana";-;1;4;1;2;1;1;-;-;-;4;7;4;1;2;-;1;3;-;13;45
"431177 Maquiné";-;-;2;1;4;1;2;-;-;-;8;5;3;1;1;1;-;2;-;13;44
"431179 Maratá";-;-;7;1;2;1;1;-;-;2;3;2;1;1;2;1;1;2;-;11;38
"431180 Marau";11;14;61;18;16;15;6;13;-;76;44;53;29;6;7;10;4;37;1;119;540
"431190 Marcelino Ramos";1;2;7;2;2;-;1;1;-;1;7;14;7;-;2;2;1;4;-;32;86
"431198 Mariana Pimentel";-;-;5;1;-;1;1;-;-;-;1;7;2;1;1;-;1;1;-;9;31
"431200 Mariano Moro";-;-;1;-;1;-;-;-;-;-;3;5;1;-;2;-;-;4;-;7;24
"431205 Marques de Souza";7;20;27;2;1;2;1;3;-;11;4;9;4;1;2;3;-;1;1;15;114
"431210 Mata";1;1;6;1;2;-;-;-;-;-;4;7;1;-;3;4;-;4;1;6;41
"431213 Mato Castelhano";-;1;2;1;1;1;-;-;-;2;2;4;2;1;1;2;-;1;1;2;24
"431215 Mato Leitão";-;-;3;1;3;1;-;-;-;-;3;5;1;1;1;2;-;4;1;5;31
"431217 Mato Queimado";-;-;2;-;2;-;-;-;-;-;1;3;2;-;1;2;-;1;-;3;17
"431220 Maximiliano de Almeida";2;3;6;3;2;2;-;-;-;-;7;4;2;1;1;2;-;1;-;14;50
"431225 Minas do Leão";-;-;6;1;3;4;1;-;-;1;2;14;5;1;1;1;1;1;-;21;63
"431230 Miraguaí";-;-;5;-;2;-;-;-;-;-;3;5;2;-;1;2;1;1;-;9;31
"431235 Montauri";-;-;-;1;2;1;-;-;-;1;5;3;2;1;1;1;-;1;-;5;24
"431237 Monte Alegre dos Campos";-;-;3;2;4;2;-;-;-;4;5;4;5;-;1;-;-;5;-;4;39
"431238 Monte Belo do Sul";-;-;2;-;2;2;-;-;-;-;3;3;2;1;2;2;1;1;-;4;25
"431240 Montenegro";24;32;229;62;32;49;26;40;-;182;94;189;55;13;23;14;18;31;-;455;1568
"431242 Mormaço";-;-;2;1;1;1;1;-;-;-;2;4;5;1;1;2;1;1;2;6;31
"431244 Morrinhos do Sul";-;-;3;1;1;-;1;-;-;-;8;7;2;-;-;1;-;1;2;2;29
"431245 Morro Redondo";-;-;5;1;3;1;1;-;-;2;5;8;2;1;-;-;-;1;-;9;39
"431247 Morro Reuter";-;-;5;4;7;2;1;1;-;-;2;5;2;1;3;3;-;8;-;11;55
"431250 Mostardas";-;-;11;-;6;1;1;2;-;1;4;14;3;1;4;4;-;4;-;39;95
"431260 Muçum";1;2;13;7;3;5;-;1;-;2;3;7;4;-;2;2;1;2;3;11;69
"431261 Muitos Capões";-;-;3;3;3;4;-;-;-;-;3;5;1;1;1;1;-;1;-;4;30
"431262 Muliterno";-;-;4;2;1;1;-;-;-;2;4;3;3;1;2;-;-;1;-;6;30
"431265 Não-Me-Toque";6;9;32;16;6;8;1;6;-;29;22;28;11;3;7;11;5;10;-;52;262
"431267 Nicolau Vergueiro";-;-;-;1;1;1;-;-;-;-;1;1;1;-;1;1;1;1;-;5;15
"431270 Nonoai";3;10;21;7;4;3;1;3;-;12;7;17;7;2;4;5;5;5;-;61;177
"431275 Nova Alvorada";-;-;3;2;1;2;-;1;-;-;2;4;3;2;2;2;1;7;-;17;49
"431280 Nova Araçá";-;1;6;2;1;2;1;-;-;-;7;4;3;3;2;1;1;1;-;5;40
"431290 Nova Bassano";3;6;28;4;4;6;-;3;-;1;11;16;9;2;5;3;4;6;-;23;134
"431295 Nova Boa Vista";-;-;1;1;1;1;-;-;-;-;3;2;3;1;2;1;-;1;-;2;19
"431300 Nova Bréscia";-;-;6;1;-;1;1;1;-;3;2;10;5;1;3;2;1;1;-;15;53
"431301 Nova Candelária";-;-;-;1;1;1;-;1;-;-;2;1;2;-;1;1;-;1;-;2;14
"431303 Nova Esperança do Sul";-;2;2;3;2;-;-;-;-;-;2;3;1;1;1;1;-;1;-;8;27
"431306 Nova Hartz";-;1;16;1;5;2;4;-;-;4;5;14;5;-;5;2;4;5;-;21;94
"431308 Nova Pádua";-;-;2;1;-;-;-;-;-;-;3;3;-;1;2;1;1;1;-;1;16
"431310 Nova Palma";3;5;14;4;3;3;3;1;-;5;4;13;4;1;2;3;3;4;1;21;97
"431320 Nova Petrópolis";7;7;41;10;9;18;6;17;-;20;22;33;11;8;6;12;9;22;1;57;316
"431330 Nova Prata";5;41;81;13;7;11;5;5;-;91;38;42;18;8;9;13;3;23;1;110;524
"431333 Nova Ramada";-;-;5;-;2;-;-;-;-;-;2;3;-;-;1;2;-;2;1;5;23
"431335 Nova Roma do Sul";-;-;2;1;1;1;1;-;-;-;2;3;2;1;1;-;1;1;1;6;24
"431337 Nova Santa Rita";-;-;60;4;4;3;4;1;-;4;15;21;5;3;2;2;2;7;1;38;176
"431349 Novo Barreiro";-;-;-;-;2;1;-;-;-;-;2;4;1;1;1;1;-;2;-;3;18
"431339 Novo Cabrais";-;-;1;1;2;-;1;-;-;-;3;4;2;-;3;2;1;3;1;8;32
"431340 Novo Hamburgo";56;103;340;167;79;211;41;109;1;662;233;471;148;46;89;66;47;189;-;1885;4943
"431342 Novo Machado";-;-;-;-;2;-;-;-;-;-;5;2;2;-;2;3;2;3;1;5;27
"431344 Novo Tiradentes";-;-;2;-;1;-;-;1;-;-;1;3;1;-;1;1;2;1;-;6;20
"431346 Novo Xingu";-;-;-;1;1;-;-;-;-;-;3;3;4;1;1;1;-;3;-;3;21
"431350 Osório";3;19;81;35;13;17;10;12;-;88;51;75;20;10;13;8;9;37;2;154;657
"431360 Paim Filho";1;3;11;3;3;4;1;-;-;3;3;8;6;3;2;1;1;4;-;12;69
"431365 Palmares do Sul";-;1;21;2;3;1;1;1;-;1;2;31;2;-;1;1;-;5;1;44;118
"431370 Palmeira das Missões";7;8;54;12;12;13;6;6;-;47;18;57;18;8;4;16;7;9;13;101;416
"431380 Palmitinho";3;2;9;4;6;3;1;1;-;6;16;9;7;2;2;2;4;5;1;34;117
"431390 Panambi";6;20;57;15;13;11;5;5;-;50;43;39;24;5;11;31;7;20;-;102;464
"431395 Pantano Grande";-;-;7;2;2;3;-;-;-;1;8;9;1;-;2;2;1;1;-;14;53
"431400 Paraí";6;31;44;10;3;10;-;1;-;1;11;9;7;2;3;1;1;7;-;17;164
"431402 Paraíso do Sul";1;1;17;-;1;-;-;1;-;2;11;11;4;1;1;3;1;1;-;15;71
"431403 Pareci Novo";-;-;8;1;1;3;1;-;-;-;10;7;3;1;3;2;2;3;-;4;49
"431405 Parobé";5;7;71;23;19;17;6;4;-;49;26;64;14;8;7;10;9;24;-;148;511
"431406 Passa Sete";-;-;-;-;3;-;-;-;-;-;3;4;1;-;2;2;1;2;-;6;24
"431407 Passo do Sobrado";-;-;1;1;2;1;-;-;-;1;3;6;-;-;2;3;-;2;-;9;31
"431410 Passo Fundo";328;353;937;302;38;185;118;129;-;1943;305;567;166;63;69;182;33;169;-;2104;7991
"431413 Paulo Bento";-;-;3;1;1;1;-;-;-;2;3;4;4;1;2;1;-;2;-;4;29
"431415 Paverama";-;-;17;1;4;1;-;-;-;-;1;4;1;1;-;1;2;3;-;6;42
"431417 Pedras Altas";-;-;16;-;2;-;-;2;-;-;1;10;1;-;1;-;-;1;-;10;44
"431420 Pedro Osório";-;3;15;2;3;4;2;2;-;5;2;10;3;-;2;1;3;3;2;15;77
"431430 Pejuçara";-;2;9;2;1;5;1;-;-;2;3;7;4;1;2;3;1;2;-;10;55
"431440 Pelotas";90;212;847;295;112;304;87;116;1;1702;565;897;246;45;125;126;151;190;52;2213;8376
"431442 Picada Café";-;-;7;1;2;2;1;2;-;1;2;3;3;-;2;1;1;1;-;16;45
"431445 Pinhal";-;-;3;-;1;-;-;-;-;-;1;5;2;-;1;-;1;2;-;3;19
"431446 Pinhal da Serra";-;-;3;-;1;-;-;-;-;-;3;4;2;1;2;1;-;2;-;7;26
"431447 Pinhal Grande";1;1;9;3;3;-;1;-;-;-;5;16;1;1;2;2;-;1;-;21;67
"431449 Pinheirinho do Vale";-;-;4;-;1;-;-;-;-;-;7;5;2;-;1;-;1;1;2;5;29
"431450 Pinheiro Machado";1;-;15;1;5;1;1;2;-;7;4;21;8;1;2;3;4;3;-;29;108
"431454 Pinto Bandeira";-;-;3;1;2;2;-;-;-;-;1;1;3;1;1;1;-;1;-;1;18
"431455 Pirapó";-;-;1;-;2;1;-;-;-;-;1;3;2;-;1;2;2;2;-;10;27
"431460 Piratini";6;4;14;5;4;6;1;2;-;7;6;20;2;2;5;5;2;6;-;60;157
"431470 Planalto";2;1;6;3;3;-;1;2;-;-;9;12;6;2;2;3;2;7;-;31;92
"431475 Poço das Antas";-;-;6;1;-;1;1;-;-;1;2;2;1;1;1;1;-;2;-;3;23
"431477 Pontão";-;-;4;-;2;1;-;-;-;-;3;7;1;2;2;1;-;3;-;8;34
"431478 Ponte Preta";-;-;-;-;3;-;-;-;-;-;2;3;1;-;1;-;-;1;-;1;12
"431480 Portão";2;2;59;6;4;13;6;3;-;30;31;44;10;6;8;2;2;12;-;73;313
"431490 Porto Alegre";1724;929;3503;1419;468;1252;632;1077;12;11604;2675;5341;1263;319;579;686;432;1084;55;11806;46860
"431500 Porto Lucena";-;3;6;-;3;3;-;1;-;-;3;9;3;-;2;2;1;2;1;11;50
"431505 Porto Mauá";-;-;-;-;3;-;-;-;-;-;4;3;3;1;2;1;-;3;-;5;25
"431507 Porto Vera Cruz";-;-;2;-;1;-;-;-;-;-;3;3;-;-;-;-;-;-;1;-;10
"431510 Porto Xavier";4;6;17;6;3;5;2;3;-;3;8;11;6;2;2;2;2;4;-;29;115
"431513 Pouso Novo";-;-;3;1;-;1;-;-;-;-;1;2;2;-;1;2;2;1;1;1;18
"431514 Presidente Lucena";-;1;7;4;-;3;1;-;-;1;3;5;2;1;2;1;-;2;-;6;39
"431515 Progresso";2;2;9;5;2;1;1;2;-;6;5;9;4;-;3;2;1;4;-;19;77
"431517 Protásio Alves";-;-;2;1;1;1;2;-;-;-;2;1;-;-;1;1;1;2;-;4;19
"431520 Putinga";-;-;5;1;2;-;-;2;-;2;3;8;1;1;1;4;-;1;-;12;43
"431530 Quaraí";1;8;30;5;6;9;2;8;-;27;20;21;13;3;6;5;1;10;-;79;254
"431531 Quatro Irmãos";-;-;-;1;2;1;-;-;-;-;2;4;2;1;1;1;1;1;-;2;19
"431532 Quevedos";-;-;-;2;3;-;-;-;-;-;8;6;1;4;2;2;-;1;-;7;36
"431535 Quinze de Novembro";-;1;6;2;1;1;-;-;-;-;7;8;4;-;1;3;1;3;-;14;52
"431540 Redentora";-;-;3;-;13;-;-;-;-;-;13;16;3;1;2;1;-;2;1;36;91
"431545 Relvado";-;-;4;1;2;1;-;-;-;-;3;3;1;1;1;1;-;2;-;6;26
"431550 Restinga Seca";-;2;20;3;9;-;1;-;-;6;9;28;7;2;3;2;2;5;-;52;151
"431555 Rio dos Índios";-;-;2;1;3;-;-;-;-;-;1;1;1;-;1;3;-;1;1;3;18
"431560 Rio Grande";30;73;322;73;71;103;30;29;1;447;57;539;75;14;42;32;38;88;38;930;3032
"431570 Rio Pardo";2;9;34;12;4;10;6;8;-;27;26;52;13;-;6;6;7;11;1;134;368
"431575 Riozinho";-;-;5;3;2;3;1;-;-;3;8;8;2;1;2;3;3;2;-;9;55
"431580 Roca Sales";-;4;24;3;2;3;2;1;-;3;2;11;5;-;3;3;-;5;-;15;86
"431590 Rodeio Bonito";5;5;9;7;5;3;-;2;-;14;4;15;4;3;3;1;4;3;2;28;117
"431595 Rolador";-;-;1;-;2;-;-;-;-;-;1;1;1;-;1;1;2;1;-;13;24
"431600 Rolante";3;2;21;3;8;3;2;3;-;11;10;21;10;1;3;3;1;6;-;50;161
"431610 Ronda Alta";3;2;18;4;3;1;1;2;-;9;9;20;1;1;6;7;1;8;-;49;145
"431620 Rondinha";1;1;5;2;4;1;-;-;-;3;4;7;2;2;2;1;1;8;-;10;54
"431630 Roque Gonzales";1;1;13;4;2;3;-;2;-;5;9;12;2;1;-;1;1;1;3;14;75
"431640 Rosário do Sul";8;10;64;16;7;13;1;8;-;39;26;43;15;2;5;14;6;11;-;144;432
"431642 Sagrada Família";-;-;-;1;2;1;-;-;-;-;6;5;2;-;1;1;3;2;-;6;30
"431643 Saldanha Marinho";-;4;14;-;1;2;-;-;-;-;2;8;1;-;6;1;-;2;-;21;62
"431645 Salto do Jacuí";1;1;16;2;4;2;-;2;1;1;15;18;7;1;1;2;3;3;6;21;107
"431647 Salvador das Missões";-;-;2;-;1;-;-;-;-;-;7;3;3;-;1;1;-;1;1;3;23
"431650 Salvador do Sul";1;2;13;2;2;3;1;2;-;7;7;10;5;1;3;1;-;5;-;19;84
"431660 Sananduva";4;27;51;17;-;14;3;30;-;47;19;19;29;2;7;7;1;15;-;70;362
